date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:20	534762/534762	---MCZ	200	added ('OK')	text/html	etag:%2286697-1761003034;gz%22	https://lemondigital.vn/	D:/clone/phuongnam/lemondigital.vn/index.html	(from )
10:18:20	160/160	---MCZ	200	added ('OK')	text/plain	etag:%2286704-1761005454;gz%22	https://lemondigital.vn/robots.txt		(from )
10:18:20	5146/5146	---MCZ	200	added ('OK')	text/css	etag:W/%226833e29b-141a%22	https://lemondigital.vn/wp-content/themes/hello-elementor/theme.min.css?ver=3.4.2	D:/clone/phuongnam/lemondigital.vn/wp-content/themes/hello-elementor/theme.minccfb.css	(from https://lemondigital.vn/)
10:18:21	331657/331657	---M-Z	200	added ('OK')	application/rss+xml	etag:%222f471405b724658aa1ad6a1dfd712091%22	https://lemondigital.vn/feed/	D:/clone/phuongnam/lemondigital.vn/feed/index.html	(from https://lemondigital.vn/)
10:18:21	53802/53802	---MCZ	200	added ('OK')	text/css	etag:W/%2268f6c28f-d22a%22	https://lemondigital.vn/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1761002127	D:/clone/phuongnam/lemondigital.vn/wp-content/uploads/elementor/css/custom-frontend.min91a6.css	(from https://lemondigital.vn/)
10:18:21	7746/7746	---MCZ	200	added ('OK')	text/css	etag:W/%2268d64754-1e42%22	https://lemondigital.vn/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.3.2	D:/clone/phuongnam/lemondigital.vn/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.mine35d.css	(from https://lemondigital.vn/)
10:18:21	790/790	---M-Z	200	added ('OK')	application/rss+xml	etag:%222f471405b724658aa1ad6a1dfd712091%22	https://lemondigital.vn/comments/feed/	D:/clone/phuongnam/lemondigital.vn/comments/feed/index.html	(from https://lemondigital.vn/)
10:18:21	7746/7746	---MCZ	200	added ('OK')	text/css	etag:W/%2268d6477e-1e42%22	https://lemondigital.vn/wp-content/uploads/essential-addons-elementor/eael-10.css?ver=1754379525	D:/clone/phuongnam/lemondigital.vn/wp-content/uploads/essential-addons-elementor/eael-100a16.css	(from https://lemondigital.vn/)
10:18:21	19727/19727	---MCZ	200	added ('OK')	text/css	etag:W/%2268d64764-4d0f%22	https://lemondigital.vn/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=10.2.1	D:/clone/phuongnam/lemondigital.vn/wp-content/plugins/woocommerce/assets/css/woocommerce-layout8d49.css	(from https://lemondigital.vn/)
10:18:22	7527/7527	---MCZ	200	added ('OK')	text/css	etag:W/%2268d64764-1d67%22	https://lemondigital.vn/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=10.2.1	D:/clone/phuongnam/lemondigital.vn/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen8d49.css	(from https://lemondigital.vn/)
